author,degree,betweenness,closeness,eigenvector
'Einar Andresen'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Hanan Samet',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Leo Marcus'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Guiseppe Longo',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Marisa Venturini Zilli'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Chong Kwan Un',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Won Yong Sung'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Martin Dillon',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Priscilla Caplan'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Daniel M. Rosenblum'],0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['John H. Reif',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Paul G. Spirakis'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Linda G. Shapiro',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'John D. Moriarty',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Prasanna G. Mulgaonkar',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Robert M. Haralick'],0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
['Masayuki Kawamata',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Tatsuo Higuchi'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Jan van Leeuwen',0.0002460024600246002,0.0,0.00036900369003690036,1.2743163864230935e-27
['M. Inagaki',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Yasuyuki Funahashi'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Beatriz Levy-Wilson',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'LeRoy Kuehl',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Gordon H. Dixon'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Yu-Chi Ho',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Peter B. Luh',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Geert Jan Olsder'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Charlotte Linde',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Joseph A. Goguen'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Roberto Barbuti',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Alberto Martelli'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['M. B. Windeknecht',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Thomas G. Windeknecht'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Merrick L. Furst',0.0004920049200492004,0.0,0.0012802708672248015,4.840848941277479e-14
'Eugene M. Luks'],0.0004920049200492004,0.0,0.0012802708672248015,4.840848941277479e-14
['William Hankley',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
